"n_cooccurring_sites","empirical_n_links","empirical_mean_interacting_sites","empirical_median_interacting_sites","empirical_q95_interacting_sites","empirical_mean_repeatability","empirical_median_repeatability","empirical_proportion_single_site_links","model_n_links_median","model_mean_interacting_sites_q025","model_mean_interacting_sites_q500","model_mean_interacting_sites_q975","model_mean_repeatability_q025","model_mean_repeatability_q500","model_mean_repeatability_q975","model_prop_single_q025","model_prop_single_q500","model_prop_single_q975","enough_empirical_links","empirical_repeatability_above_model","empirical_repeatability_below_model","empirical_interacting_sites_above_model","empirical_interacting_sites_below_model","empirical_single_site_below_model","empirical_single_site_above_model"
11,35,5.45714285714286,6,10,0.496103896103896,0.545454545454545,0.114285714285714,37,1.5,1.75,2.05718487394958,0.136363636363636,0.159090909090909,0.187016806722689,0.333333333333333,0.485714285714286,0.636363636363636,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
12,17,6.23529411764706,7,10,0.519607843137255,0.583333333333333,0.0588235294117647,17,1.42105263157895,1.84210526315789,2.31258223684211,0.118421052631579,0.153508771929825,0.192715186403509,0.230769230769231,0.444444444444444,0.666666666666667,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
13,19,7,6,11.1,0.538461538461538,0.461538461538462,0.0526315789473684,18,1.5,1.92857142857143,2.41199690402477,0.115384615384615,0.148351648351648,0.185538223386521,0.176470588235294,0.411764705882353,0.647132352941176,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
14,15,5.4,6,10,0.385714285714286,0.428571428571429,0.266666666666667,16,1.53323529411765,2,2.57172619047619,0.109516806722689,0.142857142857143,0.183694727891156,0.142857142857143,0.375,0.642857142857143,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15,9,8.22222222222222,7,12.6,0.548148148148148,0.466666666666667,0.111111111111111,9,1.5,2.1,2.875,0.1,0.14,0.191666666666667,0.0909090909090909,0.333333333333333,0.666666666666667,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
16,12,7.58333333333333,8.5,11.9,0.473958333333333,0.53125,0.166666666666667,11,1.62475961538462,2.2,2.90022727272727,0.101547475961538,0.1375,0.181264204545455,0.0833333333333333,0.307692307692308,0.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
17,3,8.66666666666667,10,14.5,0.509803921568627,0.588235294117647,0.333333333333333,5,1.4,2.25,3.5,0.0823529411764706,0.132352941176471,0.205882352941176,0,0.25,0.666666666666667,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
18,5,10.6,11,15.4,0.588888888888889,0.611111111111111,0,6,1.5,2.4,3.6,0.0833333333333333,0.133333333333333,0.2,0,0.2,0.666666666666667,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
19,6,12,10.5,18.25,0.631578947368421,0.552631578947368,0,6,1.5,2.5,3.66666666666667,0.0789473684210526,0.131578947368421,0.192982456140351,0,0.2,0.666666666666667,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
20,4,12,12,19.4,0.6,0.6,0,4,1.5,2.5,4,0.075,0.125,0.2,0,0.25,0.75,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
21,6,10.3333333333333,9.5,19.5,0.492063492063492,0.452380952380952,0.166666666666667,6,1.66666666666667,2.66666666666667,4,0.0793650793650794,0.126984126984127,0.19047619047619,0,0.166666666666667,0.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
22,3,16.3333333333333,18,18,0.742424242424242,0.818181818181818,0,3,1.33333333333333,2.66666666666667,4.66666666666667,0.0606060606060606,0.121212121212121,0.212121212121212,0,0,0.666666666666667,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
23,4,13.25,15,18.55,0.576086956521739,0.652173913043478,0,4,1.66666666666667,2.75,4.5,0.072463768115942,0.119565217391304,0.195652173913043,0,0.25,0.666666666666667,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
24,5,15.6,15,21.8,0.65,0.625,0,5,1.8,3,4.4,0.075,0.125,0.183333333333333,0,0.2,0.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
25,3,18.6666666666667,18,23.4,0.746666666666667,0.72,0,3,1.5,3,5,0.06,0.12,0.2,0,0,0.666666666666667,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
26,1,22,22,22,0.846153846153846,0.846153846153846,0,1,1,3,7,0.0384615384615385,0.115384615384615,0.269230769230769,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
27,2,21,21,25.5,0.777777777777778,0.777777777777778,0,2,1,3,6,0.037037037037037,0.111111111111111,0.222222222222222,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
30,1,24,24,24,0.8,0.8,0,1,1,4,8,0.0333333333333333,0.133333333333333,0.266666666666667,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
34,2,30.5,30.5,31.85,0.897058823529412,0.897058823529412,0,2,2,4,7,0.0588235294117647,0.117647058823529,0.205882352941176,0,0,0.5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
37,1,32,32,32,0.864864864864865,0.864864864864865,0,1,1,5,9,0.027027027027027,0.135135135135135,0.243243243243243,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
38,1,21,21,21,0.552631578947368,0.552631578947368,0,1,1,5,9,0.0263157894736842,0.131578947368421,0.236842105263158,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
41,1,30,30,30,0.731707317073171,0.731707317073171,0,1,1,5,9,0.024390243902439,0.121951219512195,0.219512195121951,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
