"source","model_rep","subset_id","removal_fraction","site_rep","n_sites_kept","n_observed_links","n_cooc_links","expected_links_raw","expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned"
"empirical",NA,90,0.1,89,307,909,3068,841.753413123269,879.023536320521,67.246586876731,0.0798887011663156,29.9764636794795,0.0341020034627936
"empirical",NA,91,0.1,90,307,883,3042,832.941883512444,870.65951180854,50.0581164875559,0.0600979701926684,12.3404881914597,0.014173724658249
"empirical",NA,92,0.1,91,307,894,3077,849.805984655441,887.434296754031,44.1940153445593,0.0520048295052641,6.56570324596919,0.00739852321460255
"empirical",NA,93,0.1,92,307,888,3071,831.99874981871,869.937371750195,56.0012501812896,0.0673092960698464,18.0626282498047,0.0207631363318317
"empirical",NA,94,0.1,93,307,915,3102,860.538004650445,899.170941335127,54.4619953495547,0.063288309238216,15.8290586648726,0.0176040594031753
"empirical",NA,95,0.1,94,307,912,3080,855.334987845272,893.069886078648,56.6650121547283,0.0662489117830626,18.9301139213517,0.0211966770086396
"empirical",NA,96,0.1,95,307,899,3049,821.543664956353,859.838217713903,77.4563350436474,0.0942814586097046,39.1617822860972,0.0455455241222223
"empirical",NA,97,0.1,96,307,900,3044,840.639239438795,877.55635152056,59.3607605612046,0.0706138350154026,22.4436484794397,0.0255751649914574
"empirical",NA,98,0.1,97,307,898,3028,839.195680806819,876.27797977321,58.8043191931807,0.0700722376652905,21.7220202267901,0.0247889604990553
"empirical",NA,99,0.1,98,307,905,3100,849.304517318335,886.121122791379,55.6954826816645,0.0655777539692384,18.8788772086212,0.0213050752578279
"empirical",NA,100,0.1,99,307,909,3072,849.791440998982,886.450192559858,59.2085590010181,0.0696742237500237,22.5498074401422,0.0254383242616528
"empirical",NA,101,0.1,100,307,895,3071,843.604129917503,878.669890202933,51.3958700824966,0.0609241565561356,16.3301097970673,0.0185850340146466
"empirical",NA,102,0.2,1,273,823,2713,728.100819844638,762.386984370964,94.8991801553618,0.130337966348687,60.6130156290357,0.0795042634142642
"empirical",NA,103,0.2,2,273,834,2722,734.262349559318,769.616541981802,99.7376504406823,0.135833807222367,64.3834580181983,0.0836565412853623
"empirical",NA,104,0.2,3,273,886,3029,837.288328807466,870.384909074744,48.7116711925337,0.0581778934646238,15.6150909252557,0.0179404430872488
"empirical",NA,105,0.2,4,273,825,2763,736.880927262834,769.635537768507,88.119072737166,0.11958386962801,55.3644622314929,0.0719359482697712
"empirical",NA,106,0.2,5,273,860,2976,795.379422751227,832.066392018083,64.6205772487731,0.0812449698852527,27.9336079819175,0.0335713691237639
"empirical",NA,107,0.2,6,273,851,2878,789.513042274635,822.215786023755,61.4869577253648,0.0778795972112344,28.7842139762448,0.0350081018456792
"empirical",NA,108,0.2,7,273,881,3038,827.854986573202,862.81553424241,53.1450134267983,0.064196041926117,18.1844657575901,0.0210757282824734
"empirical",NA,109,0.2,8,273,850,2861,772.233825767292,806.50424231683,77.7661742327082,0.10070288510794,43.4957576831698,0.0539312199502142
"empirical",NA,110,0.2,9,273,846,2846,771.18266397331,805.556324454304,74.8173360266896,0.0970163613912345,40.4436755456962,0.0502058941354516
"empirical",NA,111,0.2,10,273,855,2929,786.733146615877,821.369953211052,68.266853384123,0.0867725653581167,33.6300467889475,0.0409438483322584
"empirical",NA,112,0.2,11,273,870,2962,794.600339029743,829.204167937931,75.3996609702568,0.094890043795255,40.7958320620692,0.0491987783461345
"empirical",NA,113,0.2,12,273,833,2699,709.855182390828,749.21667667849,123.144817609172,0.173478789285463,83.7833233215101,0.111827894292139
"empirical",NA,114,0.2,13,273,833,2714,726.271202996167,761.891616087643,106.728797003833,0.146954466270358,71.108383912357,0.0933313642135907
"empirical",NA,115,0.2,14,273,861,2850,754.58471282812,789.100646504315,106.41528717188,0.141024970904916,71.8993534956849,0.0911155678482791
"empirical",NA,116,0.2,15,273,836,2818,761.621268975458,794.489387006971,74.3787310245416,0.0976584216517439,41.510612993029,0.0522481655159791
"empirical",NA,117,0.2,16,273,855,2930,776.106827784605,812.710688902009,78.8931722153953,0.101652465087307,42.2893110979911,0.0520348897528651
"empirical",NA,118,0.2,17,273,856,2837,764.374083324162,800.259832184974,91.6259166758382,0.119870517165325,55.7401678150256,0.0696525872888516
"empirical",NA,119,0.2,18,273,858,2965,793.483923779926,831.235566212786,64.5160762200737,0.0813073513988008,26.7644337872141,0.0321983741734683
"empirical",NA,120,0.2,19,273,849,2860,743.801609405551,779.683427005318,105.198390594449,0.141433400068231,69.3165729946822,0.0889034838933539
"empirical",NA,121,0.2,20,273,877,2993,808.068952388247,845.271509950186,68.9310476117532,0.0853034229418512,31.7284900498136,0.0375364479653211
