"","species","interactions","outdegree","rep"
"353","Plant11",12,13,26
"354","Plant12",3,9,26
"355","Plant13",3,3,26
"356","Plant14",1,1,26
"357","Plant2",50,10,26
"358","Plant3",27,20,26
"359","Plant4",11,8,26
"360","Plant5",3,14,26
"361","Plant6",22,9,26
"362","Plant7",6,1,26
"363","Plant8",9,12,26
"364","Plant9",6,10,26
"365","Plant1",6,39,27
"366","Plant10",4,9,27
"367","Plant11",12,9,27
"368","Plant12",3,5,27
"369","Plant13",3,1,27
"370","Plant14",1,2,27
"371","Plant2",50,13,27
"372","Plant3",27,14,27
"373","Plant4",11,11,27
"374","Plant5",3,13,27
"375","Plant6",22,11,27
"376","Plant7",6,1,27
"377","Plant8",9,8,27
"378","Plant9",6,6,27
"379","Plant1",6,42,28
"380","Plant10",4,6,28
"381","Plant11",12,8,28
"382","Plant12",3,4,28
"383","Plant13",3,1,28
"384","Plant14",1,3,28
"385","Plant2",50,14,28
"386","Plant3",27,14,28
"387","Plant4",11,18,28
"388","Plant5",3,5,28
"389","Plant6",22,13,28
"390","Plant7",6,1,28
"391","Plant8",9,9,28
"392","Plant9",6,8,28
"393","Plant1",6,42,29
"394","Plant10",4,2,29
"395","Plant11",12,11,29
"396","Plant12",3,5,29
"397","Plant13",3,4,29
"398","Plant14",1,0,29
"399","Plant2",50,15,29
"400","Plant3",27,15,29
"401","Plant4",11,6,29
"402","Plant5",3,10,29
"403","Plant6",22,7,29
"404","Plant7",6,1,29
"405","Plant8",9,8,29
"406","Plant9",6,9,29
"407","Plant1",6,42,30
"408","Plant10",4,7,30
"409","Plant11",12,8,30
"410","Plant12",3,6,30
"411","Plant13",3,0,30
"412","Plant14",1,0,30
"413","Plant2",50,19,30
"414","Plant3",27,13,30
"415","Plant4",11,9,30
"416","Plant5",3,10,30
"417","Plant6",22,16,30
"418","Plant7",6,3,30
"419","Plant8",9,4,30
"420","Plant9",6,10,30
"421","Plant1",6,37,31
"422","Plant10",4,8,31
"423","Plant11",12,11,31
"424","Plant12",3,12,31
"425","Plant13",3,2,31
"426","Plant14",1,3,31
"427","Plant2",50,20,31
"428","Plant3",27,17,31
"429","Plant4",11,17,31
"430","Plant5",3,10,31
"431","Plant6",22,15,31
"432","Plant7",6,2,31
"433","Plant8",9,3,31
"434","Plant9",6,9,31
"435","Plant1",6,38,32
"436","Plant10",4,2,32
"437","Plant11",12,8,32
"438","Plant12",3,8,32
"439","Plant13",3,4,32
"440","Plant14",1,1,32
"441","Plant2",50,20,32
"442","Plant3",27,10,32
"443","Plant4",11,14,32
"444","Plant5",3,13,32
"445","Plant6",22,14,32
"446","Plant7",6,1,32
"447","Plant8",9,4,32
"448","Plant9",6,8,32
"449","Plant1",6,31,33
"450","Plant10",4,5,33
"451","Plant11",12,7,33
"452","Plant12",3,6,33
"453","Plant13",3,8,33
"454","Plant14",1,1,33
"455","Plant2",50,21,33
"456","Plant3",27,9,33
"457","Plant4",11,12,33
"458","Plant5",3,11,33
"459","Plant6",22,11,33
"460","Plant7",6,0,33
"461","Plant8",9,7,33
"462","Plant9",6,14,33
"463","Plant1",6,36,34
"464","Plant10",4,4,34
"465","Plant11",12,11,34
"466","Plant12",3,6,34
"467","Plant13",3,2,34
"468","Plant14",1,3,34
"469","Plant2",50,18,34
"470","Plant3",27,14,34
"471","Plant4",11,14,34
"472","Plant5",3,9,34
"473","Plant6",22,12,34
"474","Plant7",6,0,34
"475","Plant8",9,10,34
"476","Plant9",6,12,34
"477","Plant1",6,45,35
"478","Plant10",4,8,35
"479","Plant11",12,7,35
"480","Plant12",3,4,35
"481","Plant13",3,3,35
"482","Plant14",1,1,35
"483","Plant2",50,12,35
"484","Plant3",27,10,35
"485","Plant4",11,17,35
"486","Plant5",3,9,35
"487","Plant6",22,14,35
"488","Plant7",6,1,35
"489","Plant8",9,6,35
"490","Plant9",6,4,35
"491","Plant1",6,43,36
"492","Plant10",4,4,36
"493","Plant11",12,14,36
"494","Plant12",3,5,36
"495","Plant13",3,2,36
"496","Plant14",1,2,36
"497","Plant2",50,19,36
"498","Plant3",27,14,36
"499","Plant4",11,11,36
"500","Plant5",3,11,36
"501","Plant6",22,12,36
"502","Plant7",6,1,36
"503","Plant8",9,6,36
"504","Plant9",6,12,36
"505","Plant1",6,40,37
"506","Plant10",4,2,37
"507","Plant11",12,11,37
"508","Plant12",3,6,37
"509","Plant13",3,2,37
"510","Plant14",1,3,37
"511","Plant2",50,16,37
"512","Plant3",27,11,37
"513","Plant4",11,14,37
