"","species","interactions","outdegree","rep"
"434","Plant9",6,15,31
"435","Plant1",6,24,32
"436","Plant10",4,9,32
"437","Plant11",12,11,32
"438","Plant12",3,13,32
"439","Plant13",3,5,32
"440","Plant14",1,6,32
"441","Plant2",50,17,32
"442","Plant3",27,16,32
"443","Plant4",11,8,32
"444","Plant5",3,16,32
"445","Plant6",22,6,32
"446","Plant7",6,7,32
"447","Plant8",9,10,32
"448","Plant9",6,17,32
"449","Plant1",6,26,33
"450","Plant10",4,8,33
"451","Plant11",12,13,33
"452","Plant12",3,13,33
"453","Plant13",3,6,33
"454","Plant14",1,2,33
"455","Plant2",50,19,33
"456","Plant3",27,16,33
"457","Plant4",11,18,33
"458","Plant5",3,20,33
"459","Plant6",22,18,33
"460","Plant7",6,7,33
"461","Plant8",9,8,33
"462","Plant9",6,10,33
"463","Plant1",6,27,34
"464","Plant10",4,7,34
"465","Plant11",12,9,34
"466","Plant12",3,9,34
"467","Plant13",3,10,34
"468","Plant14",1,3,34
"469","Plant2",50,17,34
"470","Plant3",27,15,34
"471","Plant4",11,11,34
"472","Plant5",3,14,34
"473","Plant6",22,16,34
"474","Plant7",6,3,34
"475","Plant8",9,16,34
"476","Plant9",6,13,34
"477","Plant1",6,29,35
"478","Plant10",4,6,35
"479","Plant11",12,7,35
"480","Plant12",3,9,35
"481","Plant13",3,11,35
"482","Plant14",1,6,35
"483","Plant2",50,14,35
"484","Plant3",27,19,35
"485","Plant4",11,11,35
"486","Plant5",3,20,35
"487","Plant6",22,13,35
"488","Plant7",6,5,35
"489","Plant8",9,13,35
"490","Plant9",6,7,35
"491","Plant1",6,24,36
"492","Plant10",4,9,36
"493","Plant11",12,11,36
"494","Plant12",3,8,36
"495","Plant13",3,8,36
"496","Plant14",1,5,36
"497","Plant2",50,14,36
"498","Plant3",27,11,36
"499","Plant4",11,16,36
"500","Plant5",3,12,36
"501","Plant6",22,21,36
"502","Plant7",6,7,36
"503","Plant8",9,6,36
"504","Plant9",6,10,36
"505","Plant1",6,25,37
"506","Plant10",4,8,37
"507","Plant11",12,12,37
"508","Plant12",3,13,37
"509","Plant13",3,7,37
"510","Plant14",1,3,37
"511","Plant2",50,18,37
"512","Plant3",27,16,37
"513","Plant4",11,15,37
"514","Plant5",3,18,37
"515","Plant6",22,10,37
"516","Plant7",6,5,37
"517","Plant8",9,12,37
"518","Plant9",6,8,37
"519","Plant1",6,29,38
"520","Plant10",4,7,38
"521","Plant11",12,16,38
"522","Plant12",3,10,38
"523","Plant13",3,6,38
"524","Plant14",1,3,38
"525","Plant2",50,17,38
"526","Plant3",27,14,38
"527","Plant4",11,12,38
"528","Plant5",3,16,38
"529","Plant6",22,11,38
"530","Plant7",6,2,38
"531","Plant8",9,12,38
"532","Plant9",6,6,38
"533","Plant1",6,25,39
"534","Plant10",4,9,39
"535","Plant11",12,10,39
"536","Plant12",3,11,39
"537","Plant13",3,6,39
"538","Plant14",1,5,39
"539","Plant2",50,14,39
"540","Plant3",27,14,39
"541","Plant4",11,15,39
"542","Plant5",3,10,39
"543","Plant6",22,13,39
"544","Plant7",6,5,39
"545","Plant8",9,13,39
"546","Plant9",6,14,39
"547","Plant1",6,31,40
"548","Plant10",4,8,40
"549","Plant11",12,10,40
"550","Plant12",3,10,40
"551","Plant13",3,5,40
"552","Plant14",1,5,40
"553","Plant2",50,15,40
"554","Plant3",27,18,40
"555","Plant4",11,11,40
"556","Plant5",3,7,40
"557","Plant6",22,13,40
"558","Plant7",6,6,40
"559","Plant8",9,7,40
"560","Plant9",6,11,40
"561","Plant1",6,31,41
"562","Plant10",4,4,41
"563","Plant11",12,14,41
"564","Plant12",3,8,41
"565","Plant13",3,11,41
"566","Plant14",1,8,41
"567","Plant2",50,13,41
"568","Plant3",27,13,41
"569","Plant4",11,17,41
"570","Plant5",3,20,41
"571","Plant6",22,13,41
"572","Plant7",6,2,41
"573","Plant8",9,11,41
"574","Plant9",6,8,41
"575","Plant1",6,33,42
"576","Plant10",4,9,42
"577","Plant11",12,10,42
"578","Plant12",3,9,42
"579","Plant13",3,7,42
"580","Plant14",1,5,42
"581","Plant2",50,16,42
"582","Plant3",27,12,42
"583","Plant4",11,18,42
"584","Plant5",3,13,42
"585","Plant6",22,11,42
"586","Plant7",6,5,42
"587","Plant8",9,9,42
"588","Plant9",6,14,42
"589","Plant1",6,29,43
"590","Plant10",4,8,43
"591","Plant11",12,6,43
"592","Plant12",3,10,43
"593","Plant13",3,5,43
"594","Plant14",1,4,43
"595","Plant2",50,14,43
"596","Plant3",27,7,43
"597","Plant4",11,15,43
"598","Plant5",3,23,43
"599","Plant6",22,15,43
"600","Plant7",6,5,43
"601","Plant8",9,16,43
"602","Plant9",6,11,43
"603","Plant1",6,31,44
"604","Plant10",4,13,44
"605","Plant11",12,15,44
"606","Plant12",3,6,44
"607","Plant13",3,4,44
"608","Plant14",1,5,44
"609","Plant2",50,16,44
"610","Plant3",27,11,44
"611","Plant4",11,14,44
"612","Plant5",3,14,44
"613","Plant6",22,16,44
"614","Plant7",6,4,44
"615","Plant8",9,13,44
"616","Plant9",6,11,44
"617","Plant1",6,30,45
"618","Plant10",4,8,45
"619","Plant11",12,12,45
"620","Plant12",3,12,45
"621","Plant13",3,5,45
"622","Plant14",1,6,45
"623","Plant2",50,13,45
"624","Plant3",27,11,45
"625","Plant4",11,15,45
"626","Plant5",3,8,45
"627","Plant6",22,14,45
"628","Plant7",6,2,45
"629","Plant8",9,16,45
"630","Plant9",6,9,45
"631","Plant1",6,29,46
"632","Plant10",4,11,46
"633","Plant11",12,14,46
"634","Plant12",3,9,46
"635","Plant13",3,6,46
"636","Plant14",1,7,46
"637","Plant2",50,14,46
"638","Plant3",27,17,46
"639","Plant4",11,14,46
"640","Plant5",3,13,46
"641","Plant6",22,11,46
"642","Plant7",6,2,46
"643","Plant8",9,17,46
"644","Plant9",6,8,46
"645","Plant1",6,20,47
"646","Plant10",4,12,47
"647","Plant11",12,16,47
"648","Plant12",3,13,47
"649","Plant13",3,8,47
"650","Plant14",1,4,47
"651","Plant2",50,14,47
"652","Plant3",27,15,47
"653","Plant4",11,17,47
"654","Plant5",3,15,47
"655","Plant6",22,14,47
"656","Plant7",6,3,47
"657","Plant8",9,16,47
"658","Plant9",6,11,47
"659","Plant1",6,26,48
"660","Plant10",4,7,48
"661","Plant11",12,12,48
"662","Plant12",3,13,48
"663","Plant13",3,8,48
"664","Plant14",1,5,48
"665","Plant2",50,11,48
"666","Plant3",27,15,48
"667","Plant4",11,16,48
"668","Plant5",3,9,48
"669","Plant6",22,12,48
"670","Plant7",6,6,48
"671","Plant8",9,11,48
"672","Plant9",6,17,48
"673","Plant1",6,27,49
"674","Plant10",4,11,49
"675","Plant11",12,9,49
"676","Plant12",3,10,49
"677","Plant13",3,4,49
"678","Plant14",1,3,49
"679","Plant2",50,11,49
"680","Plant3",27,16,49
"681","Plant4",11,16,49
"682","Plant5",3,15,49
"683","Plant6",22,20,49
"684","Plant7",6,6,49
"685","Plant8",9,16,49
"686","Plant9",6,10,49
"687","Plant1",6,22,50
"688","Plant10",4,9,50
"689","Plant11",12,8,50
"690","Plant12",3,14,50
"691","Plant13",3,7,50
"692","Plant14",1,2,50
"693","Plant2",50,14,50
"694","Plant3",27,10,50
"695","Plant4",11,17,50
"696","Plant5",3,16,50
"697","Plant6",22,9,50
"698","Plant7",6,6,50
"699","Plant8",9,10,50
"700","Plant9",6,8,50
"701","Plant1",6,35,51
"702","Plant10",4,7,51
"703","Plant11",12,16,51
"704","Plant12",3,11,51
"705","Plant13",3,6,51
"706","Plant14",1,4,51
"707","Plant2",50,13,51
"708","Plant3",27,14,51
"709","Plant4",11,13,51
"710","Plant5",3,19,51
"711","Plant6",22,9,51
"712","Plant7",6,3,51
"713","Plant8",9,8,51
"714","Plant9",6,11,51
"715","Plant1",6,33,52
"716","Plant10",4,13,52
"717","Plant11",12,12,52
"718","Plant12",3,9,52
"719","Plant13",3,7,52
