"removal_fraction","rep","n_sites_kept","n_predators","n_resources","n_realised_links","n_cooc_links","n_expected_links_raw","n_expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned","mean_abs_species_error_raw","mean_abs_species_error_conditioned"
0.2,18,299,121,94,855,2853,753.342860028903,792.454487421869,101.657139971097,0.134941399679817,62.545512578131,0.0789263151018469,1.82935547752383,1.73105966689287
0.2,19,299,116,93,838,2848,768.04647261112,803.936052488159,69.9535273888798,0.0910798107711627,34.0639475118408,0.0423714640068869,1.73252638578733,1.69475874259826
0.2,20,299,116,93,834,2868,770.296529703199,806.276662586887,63.7034702968011,0.0826999315722564,27.7233374131132,0.0343843976882137,1.79180706896929,1.72897027926328
0.2,21,299,119,93,870,2976,797.343340725678,832.278176536345,72.6566592743216,0.0911234289712575,37.721823463655,0.0453235763319426,1.75128650033219,1.71046838962089
0.2,22,299,109,92,819,2749,753.780738088214,786.317033879137,65.2192619117864,0.0865228555417847,32.6829661208629,0.0415646167038098,1.84668469920834,1.77334212855276
0.2,23,299,121,94,891,3026,838.489233808961,874.591000480936,52.5107661910389,0.0626254507198631,16.4089995190635,0.0187619121509828,1.84320161246812,1.77967573772684
0.2,24,299,122,93,867,2957,780.844221310299,817.883089328797,86.1557786897012,0.110336705245929,49.1169106712032,0.060053706100601,1.80804346951034,1.75475476439165
0.2,25,299,114,92,810,2626,688.542579852477,725.084451025474,121.457420147523,0.176397834645965,84.9155489745258,0.117111253529753,1.96349308057503,1.86900815121575
0.2,26,299,117,88,805,2636,697.810535970734,735.673829717347,107.189464029266,0.153608262563926,69.326170282653,0.094234927874611,1.81964071805303,1.72821799749453
0.2,27,299,118,93,859,2832,764.859828184071,802.02512975868,94.1401718159286,0.123081600506378,56.9748702413199,0.0710387594194997,1.85585859784171,1.75505314002922
0.2,28,299,112,94,830,2791,750.517215596309,784.685063740878,79.4827844036909,0.105904012262449,45.3149362591215,0.0577492020086234,1.90604836369597,1.81821984883181
0.2,29,299,112,93,855,2842,772.881286932533,806.33859058225,82.1187130674671,0.106250098761461,48.6614094177504,0.0603486053949278,1.86055750704208,1.77140961635855
0.2,30,299,114,94,837,2632,702.700085872621,739.957289793171,134.299914127379,0.191119820286637,97.0427102068293,0.131146366885519,1.89032485236074,1.79132599619362
0.2,31,299,112,94,863,2863,765.506384805434,796.661907105281,97.4936151945659,0.127358330550496,66.338092894719,0.083270070155309,2.04068430435947,1.97299226525363
0.2,32,299,121,92,837,2794,721.492920972467,759.776173600432,115.507079027533,0.160094542399454,77.2238263995682,0.101640231798293,1.81118205737222,1.74327139083454
0.2,33,299,115,93,847,2689,721.446981911304,757.762781027496,125.553018088696,0.174029445318453,89.2372189725039,0.117764056518455,1.94709214768352,1.86502891973673
0.2,34,299,111,92,861,2789,758.38107387273,790.703878269621,102.61892612727,0.135313142248182,70.2961217303789,0.0889032211201685,1.8796959191826,1.78463542682116
0.2,35,299,118,92,839,2807,743.511505761656,780.279793971479,95.4884942383443,0.128429074060563,58.720206028521,0.0752553205685952,1.93281729966057,1.86231507193387
0.2,36,299,108,91,826,2768,740.222513807252,770.691797543386,85.7774861927483,0.115880677219018,55.308202456614,0.0717643585060998,1.84853228061887,1.79193353511704
0.2,37,299,116,92,830,2812,741.600829179563,777.452091255199,88.3991708204371,0.119200474624919,52.5479087448012,0.0675898995396134,1.85171877971995,1.7605743796689
0.2,38,299,120,94,879,2964,793.052241701665,828.610553982575,85.9477582983349,0.108375909907165,50.3894460174248,0.0608119770804711,1.8908787695799,1.82756204539403
0.2,39,299,116,94,865,2928,785.003400915238,818.185365420608,79.9965990847616,0.101906054154024,46.8146345793915,0.0572176386402674,1.83215871866801,1.78559477465572
0.2,40,299,114,94,837,2872,771.192791379711,804.280266008296,65.8072086202893,0.0853317216601004,32.7197339917039,0.0406820052344371,1.74668398018903,1.70103064350947
0.2,41,299,114,93,863,2804,755.911717871482,792.470696059582,107.088282128518,0.141667710126337,70.5293039404181,0.0889992580055167,1.94183431078894,1.83496860182773
0.2,42,299,114,93,865,2975,806.270479731984,838.328814998511,58.7295202680158,0.072840965587055,26.6711850014893,0.0318147062635998,1.88145623386369,1.84263418571217
0.2,43,299,121,94,893,3074,831.224911421191,865.64793108096,61.7750885788087,0.0743181390860728,27.3520689190403,0.0315972209220035,1.87002250054091,1.8282048128562
0.2,44,299,119,93,875,2974,811.008446750462,846.466601488818,63.9915532495385,0.0789036828234515,28.5333985111823,0.0337088296939253,1.80135428437033,1.75045583555883
0.2,45,299,114,93,852,2827,771.304780261943,806.28920173482,80.6952197380568,0.104621703123183,45.7107982651796,0.056692807204695,1.82610522171191,1.75195202297189
0.2,46,299,110,93,846,2863,774.630817514564,804.414578096102,71.369182485436,0.092133156688017,41.5854219038981,0.0516965045590335,1.94797818472646,1.90368264042716
0.2,47,299,121,93,856,2968,785.346582489273,822.549598841999,70.6534175107266,0.0899646335593389,33.4504011580012,0.0406667284320524,1.80996166542965,1.73472840692465
0.2,48,299,115,91,824,2731,718.643607316905,753.352209343435,105.356392683095,0.146604508285337,70.6477906565648,0.0937779033237801,1.96342269034699,1.89493925917054
0.2,49,299,112,92,775,2627,677.211553969247,713.721618399519,97.7884460307533,0.144398667532471,61.2783816004807,0.0858575388789455,1.7213482567521,1.63911227128146
0.2,50,299,111,91,812,2635,712.469259258312,746.916257166344,99.5307407416881,0.139698294976685,65.0837428336556,0.0871365995976185,1.91974094840141,1.80598666957165
0.2,51,299,120,94,864,2981,794.336397237542,829.656403668898,69.6636027624584,0.0877003785861091,34.3435963311016,0.0413949632392731,1.80449852921342,1.74856238559748
0.2,52,299,119,93,853,2885,766.027920578058,803.465420217482,86.9720794219422,0.113536435272897,49.5345797825179,0.0616511657329445,1.85013722483611,1.7715295248209
0.2,53,299,117,93,865,2956,783.944235494223,818.069777651421,81.0557645057767,0.103394809013012,46.9302223485786,0.0573670163971948,1.84905116327163,1.78357870822387
0.2,54,299,116,93,834,2757,740.184913554996,776.146847829453,93.8150864450037,0.126745472282627,57.853152170547,0.0745389256328712,1.72288076643018,1.65739541878896
0.2,55,299,119,94,863,2919,770.739809397535,806.879436073433,92.2601906024649,0.119703419334966,56.1205639265671,0.0695526015629672,1.81485231874522,1.76436826721945
