"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
100,883,1.4326160815402,1,3,6,0.708946772366931,0.421007940478403,0.333333333333333
101,902,1.40465631929047,1,3,9,0.726164079822616,0.42421595553783,0.333333333333333
102,922,1.37960954446855,1,3,6,0.739696312364425,0.439815441824547,0.333333333333333
103,905,1.38011049723757,1,3,7,0.738121546961326,0.428155075920001,0.333333333333333
104,891,1.39393939393939,1,3,6,0.742985409652076,0.441828167960816,0.333333333333333
105,844,1.43483412322275,1,3,9,0.73696682464455,0.424213545066318,0.333333333333333
106,909,1.36633663366337,1,3,5,0.743674367436744,0.424431571503631,0.333333333333333
107,910,1.3967032967033,1,3,7,0.728571428571429,0.431501298323164,0.333333333333333
108,876,1.36529680365297,1,3,6,0.752283105022831,0.425340594514247,0.333333333333333
109,902,1.39689578713969,1,3,6,0.727272727272727,0.433531725764761,0.333333333333333
110,912,1.34429824561404,1,3,7,0.760964912280702,0.416137661026302,0.333333333333333
111,893,1.40425531914894,1,3,8,0.727883538633819,0.429357413022827,0.333333333333333
112,898,1.37973273942094,1,3,10,0.747216035634744,0.426317605592795,0.333333333333333
113,926,1.40172786177106,1,3,7,0.747300215982721,0.442204765146087,0.333333333333333
114,923,1.37811484290358,1,3,10,0.763813651137595,0.444742898952372,0.333333333333333
115,863,1.38122827346466,1,3,7,0.741599073001159,0.40667546100723,0.3
116,899,1.40266963292547,1,3,9,0.743047830923248,0.424016627794685,0.333333333333333
117,913,1.4184008762322,1,3,9,0.736035049288061,0.424012286193943,0.333333333333333
118,905,1.40994475138122,1,3,8,0.723756906077348,0.430755465569461,0.333333333333333
119,883,1.40656851642129,1,3,7,0.72480181200453,0.424103082521148,0.333333333333333
120,845,1.36923076923077,1,3,7,0.759763313609467,0.423636121487602,0.333333333333333
121,935,1.37647058823529,1,3,7,0.751871657754011,0.439749339644528,0.333333333333333
122,893,1.37849944008959,1,3,6,0.737961926091825,0.424188828276661,0.333333333333333
123,874,1.39816933638444,1,3,9,0.75629290617849,0.430766710239015,0.333333333333333
124,931,1.39205155746509,1,3,8,0.748657357679914,0.436199970216451,0.333333333333333
125,933,1.36441586280815,1,3,9,0.767416934619507,0.425131152844239,0.333333333333333
126,896,1.38392857142857,1,3,7,0.743303571428571,0.447773631892415,0.333333333333333
127,901,1.40843507214206,1,3,7,0.72142064372919,0.417274142364491,0.333333333333333
128,908,1.38215859030837,1,3,8,0.761013215859031,0.415937908938656,0.333333333333333
129,918,1.3681917211329,1,3,8,0.752723311546841,0.433098420513936,0.333333333333333
130,892,1.42264573991031,1,3,9,0.732062780269058,0.433856509036569,0.333333333333333
131,921,1.38870792616721,1,3,7,0.750271444082519,0.424873046239698,0.333333333333333
132,883,1.40090600226501,1,3,8,0.733861834654587,0.414026797008858,0.333333333333333
133,874,1.38100686498856,1,3,6,0.749427917620137,0.411266903805476,0.285714285714286
134,886,1.39051918735892,1,3,9,0.743792325056433,0.43066017154604,0.333333333333333
135,881,1.40749148694665,1,3,9,0.737797956867196,0.423824434761498,0.333333333333333
136,925,1.36864864864865,1,3,7,0.742702702702703,0.42422380214551,0.333333333333333
137,887,1.39233370913191,1,3,7,0.746335963923337,0.416643876184334,0.333333333333333
138,889,1.40944881889764,1,3,6,0.730033745781777,0.419114132391013,0.333333333333333
139,886,1.35553047404063,1,3,7,0.757336343115124,0.42218141174133,0.333333333333333
140,900,1.39777777777778,1,3,8,0.74,0.422289946400828,0.333333333333333
141,911,1.4006586169045,1,3,10,0.73655323819978,0.430271359001868,0.333333333333333
142,883,1.36126840317101,1,3,6,0.757644394110985,0.422647052899101,0.333333333333333
143,885,1.36610169491525,1,3,8,0.763841807909605,0.420607170958062,0.333333333333333
144,894,1.3579418344519,1,3,7,0.772930648769575,0.415091006208764,0.333333333333333
145,894,1.39485458612975,1,3,8,0.731543624161074,0.417431747461232,0.333333333333333
146,900,1.36888888888889,1,3,8,0.75,0.429847051739744,0.333333333333333
147,895,1.3731843575419,1,3,6,0.735195530726257,0.432317354059863,0.333333333333333
148,885,1.39661016949153,1,3,6,0.733333333333333,0.423440977720925,0.333333333333333
149,922,1.41323210412148,1,3,8,0.732104121475054,0.430722175568875,0.333333333333333
150,837,1.40979689366786,1,3,7,0.727598566308244,0.406089709083314,0.333333333333333
151,928,1.36853448275862,1,3,9,0.761853448275862,0.432092470732106,0.333333333333333
152,895,1.4,1,3,12,0.734078212290503,0.440721525270778,0.333333333333333
153,936,1.38568376068376,1,3,7,0.751068376068376,0.413672980894223,0.3
154,913,1.37787513691128,1,3,6,0.754654983570646,0.421617122365399,0.333333333333333
155,903,1.41196013289037,1,3,10,0.733111849390919,0.413646029763808,0.333333333333333
156,888,1.38963963963964,1,3,8,0.743243243243243,0.422369982194694,0.285714285714286
157,880,1.38636363636364,1,3,8,0.751136363636364,0.412143733017999,0.285714285714286
