"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Bracin","Hnudip",1,6,0.166666666666667,"empirical",NA
"Bracin","Hoblit",1,5,0.2,"empirical",NA
"Bracin","Hplicg",2,8,0.25,"empirical",NA
"Bracin","Hplicp",1,2,0.5,"empirical",NA
"Bracin","Hpolit",3,6,0.5,"empirical",NA
"Bracin","Hpruss",1,11,0.0909090909090909,"empirical",NA
"Bracin","Oaacut",1,1,1,"empirical",NA
"Bracin","Oadaph",3,7,0.428571428571429,"empirical",NA
"Bracin","Oarcti",2,6,0.333333333333333,"empirical",NA
"Bracin","Obella",1,2,0.5,"empirical",NA
"Bracin","Obrevi",2,2,1,"empirical",NA
"Bracin","Obridg",1,6,0.166666666666667,"empirical",NA
"Bracin","Ocolla",1,2,0.5,"empirical",NA
"Bracin","Odolic",2,6,0.333333333333333,"empirical",NA
"Bracin","Ofoeti",4,8,0.5,"empirical",NA
"Bracin","Ogalla",1,2,0.5,"empirical",NA
"Bracin","Oglabr",1,5,0.2,"empirical",NA
"Bracin","Oglauc",2,4,0.5,"empirical",NA
"Bracin","Ohasta",1,11,0.0909090909090909,"empirical",NA
"Bracin","Ohelve",1,2,0.5,"empirical",NA
"Bracin","Okriec",4,5,0.8,"empirical",NA
"Bracin","Olappo",3,5,0.6,"empirical",NA
"Bracin","Omacul",1,5,0.2,"empirical",NA
"Bracin","Omonti",1,3,0.333333333333333,"empirical",NA
"Bracin","Omyrti",1,2,0.5,"empirical",NA
"Bracin","Onigri",2,6,0.333333333333333,"empirical",NA
"Bracin","Onival",2,11,0.181818181818182,"empirical",NA
"Bracin","Onorve",1,2,0.5,"empirical",NA
"Bracin","Oobscu",5,8,0.625,"empirical",NA
"Bracin","Opedun",2,3,0.666666666666667,"empirical",NA
"Bracin","Opprox",1,1,1,"empirical",NA
"Bracin","Oproxi",6,9,0.666666666666667,"empirical",NA
"Bracin","Opustu",1,1,1,"empirical",NA
"Bracin","Oretus",2,3,0.666666666666667,"empirical",NA
"Bracin","Ospset",1,2,0.5,"empirical",NA
"Bracin","Otrian",1,2,0.5,"empirical",NA
"Bracin","Ovaria",3,14,0.214285714285714,"empirical",NA
"Bracin","Ovesic",3,8,0.375,"empirical",NA
"Bracin","Ovimin",4,11,0.363636363636364,"empirical",NA
