"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"99","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"100","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"101","Cacoxenus.indagator",1,"Ancistrocerus.gazella",0.205977658198033,0.205977224,9.38174962586005,4.59459459459459
"102","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"103","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"104","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"105","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"106","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"107","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"108","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"109","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"110","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"111","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"112","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"113","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"114","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"115","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"116","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"117","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"118","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"119","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"120","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"121","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"122","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"123","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"124","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"125","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
