"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Trichrysis.cyanea","Trypoxylon.minus",1,1,1,"empirical",NA
"Trichrysis.cyanea","Trypoxylon.spec",17,22,0.772727272727273,"empirical",NA
"V1","Agenioideus.cinctellus",1,1,1,"empirical",NA
"V1","Hylaeus.communis",2,2,1,"empirical",NA
"V1","Megachile.alpicola",1,1,1,"empirical",NA
"V1","Osmia.rufa",1,3,0.333333333333333,"empirical",NA
"V1","Osmia.spec",1,1,1,"empirical",NA
"indet","Euodynerus.quadrifasciatus",1,1,1,"empirical",NA
"indet","Heriades.truncorum",1,1,1,"empirical",NA
"indet","Trypoxylon.spec",3,4,0.75,"empirical",NA
"mites","Ancistrocerus.antilope",1,1,1,"empirical",NA
"mites","Osmia.brevicornis",2,2,1,"empirical",NA
"mites","Osmia.leaiana",1,2,0.5,"empirical",NA
"mites","Osmia.rufa",2,3,0.666666666666667,"empirical",NA
"mites","Osmia.spec",2,3,0.666666666666667,"empirical",NA
