"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
237,115,1.2,1,2,5,0.843478260869565,0.354308926136157,0.25
238,99,1.27272727272727,1,3,3,0.797979797979798,0.350670455848474,0.25
239,114,1.2719298245614,1,3,3,0.789473684210526,0.338224499920565,0.222222222222222
240,108,1.2962962962963,1,2,5,0.768518518518518,0.352341360432176,0.25
241,110,1.29090909090909,1,2.55,5,0.8,0.369305868483395,0.25
242,106,1.28301886792453,1,2.75,5,0.811320754716981,0.411189127406853,0.333333333333333
243,113,1.30973451327434,1,3,5,0.787610619469027,0.418010661760011,0.285714285714286
244,98,1.21428571428571,1,2,4,0.836734693877551,0.39047460565452,0.25
245,92,1.25,1,2,4,0.826086956521739,0.378728191939004,0.25
246,111,1.21621621621622,1,2,3,0.801801801801802,0.401575871436553,0.333333333333333
247,117,1.32478632478632,1,3,5,0.786324786324786,0.373299228482407,0.25
248,95,1.31578947368421,1,3,6,0.8,0.377219189379773,0.25
249,112,1.19642857142857,1,2,3,0.839285714285714,0.400273552802301,0.30952380952381
250,116,1.22413793103448,1,2,5,0.827586206896552,0.363690147194004,0.25
251,104,1.19230769230769,1,2,3,0.836538461538462,0.359261773980234,0.25
252,99,1.27272727272727,1,3,4,0.808080808080808,0.397675927652004,0.285714285714286
253,106,1.24528301886792,1,2,4,0.811320754716981,0.31757237850453,0.2
254,111,1.1981981981982,1,2,4,0.837837837837838,0.341251924394339,0.2
255,101,1.20792079207921,1,2,4,0.831683168316832,0.361310820489391,0.25
256,97,1.32989690721649,1,2.19999999999999,6,0.77319587628866,0.366141025722511,0.25
257,113,1.30973451327434,1,3,5,0.778761061946903,0.343973578295272,0.25
258,105,1.35238095238095,1,3,8,0.8,0.393836003300842,0.333333333333333
259,110,1.29090909090909,1,2,5,0.790909090909091,0.420547054213885,0.25
260,113,1.28318584070796,1,2.39999999999999,4,0.778761061946903,0.36304242902225,0.25
261,116,1.22413793103448,1,2,4,0.827586206896552,0.381722171751063,0.25
262,114,1.25438596491228,1,2.34999999999999,4,0.815789473684211,0.359313647896832,0.25
263,107,1.25233644859813,1,2,5,0.785046728971963,0.360660631913634,0.25
